Ratio Edge Cases
============================================================

ABB | Dec 2012 | ROCE Difference = 14.78 | Category: Version Difference
ABB | Dec 2012 | ROE Difference = 12.49 | Category: Version Difference
ABB | Mar 2014 | ROCE Difference = 12.12 | Category: Version Difference
ABB | Mar 2014 | ROE Difference = 9.77 | Category: Version Difference
ABB | Mar 2014 | ROCE Difference = 12.12 | Category: Version Difference
ABB | Mar 2014 | ROE Difference = 9.77 | Category: Version Difference
ABB | Mar 2015 | ROCE Difference = 12.70 | Category: Version Difference
ABB | Mar 2015 | ROE Difference = 10.46 | Category: Version Difference
ABB | Mar 2015 | ROCE Difference = 12.70 | Category: Version Difference
ABB | Mar 2015 | ROE Difference = 10.46 | Category: Version Difference
ABB | Mar 2016 | ROCE Difference = 15.46 | Category: Formula Discrepancy
ABB | Mar 2016 | ROE Difference = 13.56 | Category: Version Difference
ABB | Mar 2016 | ROCE Difference = 15.46 | Category: Formula Discrepancy
ABB | Mar 2016 | ROE Difference = 13.56 | Category: Version Difference
ABB | Mar 2017 | ROCE Difference = 17.30 | Category: Formula Discrepancy
ABB | Mar 2017 | ROE Difference = 14.93 | Category: Version Difference
ABB | Mar 2017 | ROCE Difference = 17.30 | Category: Formula Discrepancy
ABB | Mar 2017 | ROE Difference = 14.93 | Category: Version Difference
ABB | Mar 2018 | ROCE Difference = 14.99 | Category: Version Difference
ABB | Mar 2018 | ROE Difference = 11.21 | Category: Version Difference
ABB | Mar 2018 | ROCE Difference = 14.99 | Category: Version Difference
ABB | Mar 2018 | ROE Difference = 11.21 | Category: Version Difference
ABB | Mar 2019 | ROCE Difference = 15.87 | Category: Formula Discrepancy
ABB | Mar 2019 | ROE Difference = 12.49 | Category: Version Difference
ABB | Mar 2019 | ROCE Difference = 15.87 | Category: Formula Discrepancy
ABB | Mar 2019 | ROE Difference = 12.49 | Category: Version Difference
ABB | Mar 2020 | ROCE Difference = 16.95 | Category: Formula Discrepancy
ABB | Mar 2020 | ROE Difference = 10.51 | Category: Version Difference
ABB | Mar 2020 | ROCE Difference = 16.95 | Category: Formula Discrepancy
ABB | Mar 2020 | ROE Difference = 10.51 | Category: Version Difference
ABB | Mar 2021 | ROCE Difference = 12.53 | Category: Version Difference
ABB | Mar 2021 | ROE Difference = 8.34 | Category: Version Difference
ABB | Mar 2021 | ROCE Difference = 12.53 | Category: Version Difference
ABB | Mar 2021 | ROE Difference = 8.34 | Category: Version Difference
ABB | Mar 2022 | ROCE Difference = 9.59 | Category: Version Difference
ABB | Mar 2022 | ROE Difference = 6.57 | Category: Version Difference
ABB | Mar 2022 | ROCE Difference = 9.59 | Category: Version Difference
ABB | Mar 2022 | ROE Difference = 6.57 | Category: Version Difference
